D_number,date_UTC,Latitude,Longitude,U_speed_mps,U_Dir_deg,batteryState
298,2023-04-25 18:43:17,54.43405,10.64794,0.130595424009464,82.1357337395952,GOOD
298,2023-04-25 18:55:36,54.43398,10.6494,0.128602397652562,93.3603951353325,GOOD
298,2023-04-25 19:03:20,54.43382,10.64979,0.0666777786134961,123.793507642428,GOOD
298,2023-04-25 19:08:23,54.43395,10.65052,0.163429769533772,71.670962024824,GOOD
298,2023-04-25 19:18:25,54.43382,10.65174,0.130596100766317,95.1803621389595,GOOD
298,2023-04-25 19:23:25,54.43392,10.65236,0.139112280916248,73.1908095490391,GOOD
298,2023-04-25 19:28:27,54.43401,10.65311,0.164491416098879,77.0239615421627,GOOD
298,2023-04-25 19:48:30,54.43414,10.65502,0.112699238228095,64.358645062296,GOOD
298,2023-04-25 19:53:32,54.43415,10.65536,0.0731307342245169,85.765220244909,GOOD
298,2023-04-25 20:10:57,54.43426,10.65676,0.0367622827561876,88.6523211211792,GOOD
298,2023-04-25 20:13:30,54.43427,10.65695,0.0808909159444278,83.4932611728416,GOOD
298,2023-04-25 20:18:29,54.43434,10.65732,0.0844012661320448,70.6720321012852,GOOD
298,2023-04-25 20:23:41,54.43433,10.65773,0.0853263415312785,91.0473312876039,GOOD
298,2023-04-25 20:38:34,54.43438,10.65863,0.0656792486567888,83.2072439369151,GOOD
298,2023-04-25 20:43:36,54.43438,10.65903,0.0859264265277065,88.6504964586622,GOOD
298,2023-04-25 20:48:36,54.43437,10.65938,0.0757777224387892,91.4560617798729,GOOD
298,2023-04-25 20:53:36,54.43435,10.65979,0.0889716623714745,93.4330813612719,GOOD
298,2023-04-25 20:58:47,54.43436,10.66024,0.0939380380522246,86.4665008365093,GOOD
298,2023-04-25 21:19:50,54.43448,10.66219,0.0367621199353988,88.6478991236801,GOOD
298,2023-04-25 21:38:53,54.43426,10.66436,0.115229225493714,105.487984808695,GOOD
298,2023-04-25 21:48:49,54.4342,10.66496,0.0750070105586236,100.055190537628,GOOD
298,2023-04-25 21:58:58,54.43421,10.66597,0.107607554668555,87.6720888817101,GOOD
298,2023-04-25 22:08:50,54.43391,10.66663,0.12127604293629,141.324568114599,GOOD
298,2023-04-25 22:13:58,54.43419,10.66753,0.214876001501358,60.5563051672371,GOOD
298,2023-04-25 22:23:57,54.43411,10.66848,0.112642349275372,113.223580930064,GOOD
298,2023-04-25 22:43:52,54.43402,10.6703,0.110287747936238,88.6413770961758,GOOD
298,2023-04-25 22:53:53,54.43426,10.67062,0.05628561843134,36.498460911347,GOOD
298,2023-04-25 23:14:14,54.43391,10.67174,0.0675194367569344,116.834097243065,GOOD
298,2023-04-25 23:19:08,54.43379,10.67225,0.121359859545896,110.619469765981,GOOD
298,2023-04-25 23:26:52,54.43351,10.6726,0.0830933477544607,142.558084822574,GOOD
298,2023-04-25 23:34:08,54.43352,10.67307,0.0699816731289073,86.548937423493,GOOD
298,2023-04-25 23:39:10,54.43343,10.67348,0.0941136746110781,109.272049033467,GOOD
298,2023-04-25 23:49:15,54.43328,10.67393,0.19272275809394,167.641380916723,GOOD
298,2023-04-25 23:54:24,54.43365,10.6741,0.137950803711373,13.6330133676853,GOOD
298,2023-04-26 00:09:31,54.43317,10.67483,0.0787079918480569,137.077346714334,GOOD
298,2023-04-26 00:39:16,54.43203,10.67588,0.0806705490120659,150.403004558619,GOOD
298,2023-04-26 01:19:24,54.43183,10.67768,0.0968673968079625,48.0178030108463,GOOD
298,2023-04-26 01:24:24,54.43196,10.67805,0.093424845723357,57.5591724592744,GOOD
298,2023-04-26 01:29:27,54.43212,10.67835,0.0870602970793437,46.1819677236261,GOOD
298,2023-04-26 01:39:25,54.43232,10.67888,0.039645553592419,66.6553659643884,GOOD
298,2023-04-26 01:44:30,54.43254,10.67923,0.109481553830358,41.479452795467,GOOD
298,2023-04-26 01:49:27,54.43264,10.67942,0.0559156882051142,46.5583744363894,GOOD
298,2023-04-26 01:59:34,54.43282,10.67976,0.0386445487602225,28.8750320178481,GOOD
298,2023-04-26 02:04:27,54.43294,10.68002,0.0734275922007184,50.2652579670441,GOOD
298,2023-04-26 02:09:28,54.43276,10.68019,0.0759695686842852,149.796250461941,GOOD
298,2023-04-26 02:19:36,54.43294,10.68081,0.0562267090950315,88.6327419983184,GOOD
298,2023-04-26 02:24:29,54.43294,10.68103,0.0487130871996036,88.6325467165406,GOOD
298,2023-04-26 02:39:32,54.43259,10.68156,0.0386445936157059,148.390480194151,GOOD
298,2023-04-26 02:44:31,54.43253,10.68182,0.0606743451786456,110.227535059631,GOOD
298,2023-04-26 02:49:38,54.43247,10.68219,0.0811598757496858,104.175950245812,GOOD
298,2023-04-26 02:59:32,54.43228,10.6827,0.0661054896025675,121.211189696792,GOOD
298,2023-04-26 03:04:29,54.43208,10.68311,0.116778988472321,128.551036470684,GOOD
298,2023-04-26 03:09:31,54.43188,10.68339,0.0951302770601663,139.409566209164,GOOD
298,2023-04-26 03:19:35,54.43162,10.68416,0.0955809383847065,118.708894514472,GOOD
298,2023-04-26 03:24:34,54.43162,10.68485,0.149721005195194,88.6296522595387,GOOD
298,2023-04-26 03:29:30,54.43158,10.68549,0.141083016442667,94.748076647981,GOOD
298,2023-04-26 03:34:37,54.43137,10.68592,0.118544095193355,128.581056205213,GOOD
298,2023-04-26 03:59:47,54.43002,10.68747,0.119726077714187,144.830081793208,GOOD
298,2023-04-26 04:29:33,54.42956,10.68987,0.0941743581673731,97.6907157926277,GOOD
298,2023-04-26 04:39:37,54.42948,10.69073,0.0750156300956108,100.033017151658,GOOD
298,2023-04-26 04:59:28,54.42916,10.69234,0.0926654179268697,107.448362651522,GOOD
298,2023-04-26 05:04:37,54.42903,10.69272,0.0925133019993448,119.026068932968,GOOD
